claim_id,section,source_file,line_or_locator,claim_text,claim_type,claimed_value,expected_source,verification_status,verified_value,difference,severity,action_taken
C01,07_tasks_baselines/08_characterization,sections/07_tasks_baselines.tex:25;sections/08_characterization.tex:7,L25;L7,"277,995,072 candidate rows audited",QUANTITATIVE,277995072,HF v1.0 dataset_structure (external) + table_dataset_scale.tex,VERIFIED_EXACT,277995072 (HF live API),0,NONE,none needed
C02,07_tasks_baselines/08_characterization,sections/07_tasks_baselines.tex:66;sections/08_characterization.tex:7,L66;L7,"2,363,286 decision rows / decisions",QUANTITATIVE,2363286,HF v1.0 dataset_structure (external),VERIFIED_EXACT,2363286 (HF live API),0,NONE,none needed
C03,main.tex abstract,main.tex,~L86,"1,000,000 pairwise-sample rows (via HF card cross-check)",QUANTITATIVE,1000000,HF v1.0 dataset card (external),VERIFIED_EXACT,1000000 (HF live API),0,NONE,none needed
C04,08_characterization,sections/08_characterization.tex:13-14,L13-14,"random-optimal probability 0.9912; mean random regret 0.0088; all-tied fraction 0.6766; unique-winner fraction 0.0",QUANTITATIVE,"0.9912/0.0088/0.6766/0.0",table_regret_tie_stats.tex source CSV (canonical),VERIFIED_EXACT,matches table_regret_tie_stats.tex,0,NONE,none needed
C05,08_characterization,sections/08_characterization.tex:154-161,L154-161,"67.66% zero-information; 31.66% large-optimal-set stratum contributing 86.8% of regret at mean random-optimal prob 0.976; 0.68% material-regret-separation stratum contributing 13.2% of regret",QUANTITATIVE,"67.66/31.66/86.8/0.976/0.68/13.2",analysis/problem3_informativeness_20260917/outputs/headline_random_optimal_decomposition.csv,VERIFIED_EXACT,"0.6766/0.31664/0.8679/0.9758/0.006758/0.1321 (all round to stated values)",0,NONE,none needed
C06,08_characterization (matched horizon),table_matched_long_horizon_sensitivity.tex,rows 16/32/64/128,"matched population 787,762 at every horizon; all-tied fraction falls 0.6193->0.5434 from H16->H128",QUANTITATIVE,"787762; 0.6193/0.5434",analysis/problem4_matched_horizon_20260917/outputs/validation.json,VERIFIED_EXACT,"787762 (equal_count_every_horizon=true); H16/H128 all-tied fractions match table",0,NONE,none needed
C07,main.tex abstract,main.tex:87-88,L87-88,"separation strengthens monotonically for every decision tested as horizon grows 16->128",MATHEMATICAL/QUANTITATIVE,"monotone for every decision",analysis/problem4_matched_horizon_20260917/outputs/matched_monotonicity_micro_summary.csv,VERIFIED_EXACT,adjacent_all_nondecreasing_fraction=1.0 (787762/787762 decisions),0,NONE,none needed
C08,08b_closed_loop,sections/08b_closed_loop.tex:19,54,101,L19/54/101,"LRU best in 9 of 10 cells under original 4-policy set (LRU/MRU/random/SIEVE)",QUANTITATIVE,9/10,analysis/closed_loop_tier1_evidence_20260914 + problem5_scientific_answers.json (n_cells_lru_is_best_of_4_old),VERIFIED_EXACT,9,0,NONE,"correctly scoped to the 4-policy set throughout; not presented as the current headline number"
C09,08b_closed_loop expanded comparators,sections/08b_closed_loop.tex:100-101,L100-101,"LRU best in 4 of 10 cells under expanded 7-policy set",QUANTITATIVE,4/10,analysis/problem5_expanded_closed_loop_20260917/outputs/problem5_scientific_answers.json,VERIFIED_EXACT,n_cells_lru_is_best_of_7=4,0,NONE,none needed
C10,08b_closed_loop expanded comparators,sections/08b_closed_loop.tex:101-103 (PRE-FIX),L101-103,"four of the six cells where a new policy edges out LRU do so by <3.2% relative miss ratio",QUANTITATIVE,4 of 6,problem5_scientific_answers.json Q1_lru_competitive.exceptions_of_7 (6 rows: gaps 1.29/3.19/0.45/0.91/1.68/8.07%),INCORRECT (pre-fix),5 of 6 cells have gap <3.2% (only metakv/cap128 at 8.07% exceeds it),1 cell miscounted,MODERATE,FIXED -- changed "four" to "five" in sections/08b_closed_loop.tex
