informativeness_stratum,stratum_order,trace_family,capacity,horizon,n_decisions,mean_expected_random_regret
Z,0,cloudphysics,32,4,46783,0.0
Z,0,cloudphysics,32,8,45039,0.0
Z,0,cloudphysics,32,16,42818,0.0
Z,0,cloudphysics,64,4,44156,0.0
Z,0,cloudphysics,64,8,41159,0.0
Z,0,cloudphysics,64,16,37186,0.0
Z,0,cloudphysics,128,4,41307,0.0
Z,0,cloudphysics,128,8,37084,0.0
Z,0,cloudphysics,128,16,31512,0.0
Z,0,cloudphysics,256,4,38690,0.0
Z,0,cloudphysics,256,8,33518,0.0
Z,0,cloudphysics,256,16,26628,0.0
Z,0,metacdn,32,4,6812,0.0
Z,0,metacdn,32,8,2179,0.0
Z,0,metacdn,32,16,357,0.0
Z,0,metacdn,64,4,6038,0.0
Z,0,metacdn,64,8,1817,0.0
Z,0,metacdn,64,16,292,0.0
Z,0,metacdn,128,4,5332,0.0
Z,0,metacdn,128,8,1513,0.0
Z,0,metacdn,128,16,235,0.0
Z,0,metacdn,256,4,4642,0.0
Z,0,metacdn,256,8,1227,0.0
Z,0,metacdn,256,16,178,0.0
Z,0,metakv,32,4,33580,0.0
Z,0,metakv,32,8,33146,0.0
Z,0,metakv,32,16,32968,0.0
Z,0,metakv,64,4,33489,0.0
Z,0,metakv,64,8,33008,0.0
Z,0,metakv,64,16,32751,0.0
Z,0,metakv,128,4,33309,0.0
Z,0,metakv,128,8,32762,0.0
Z,0,metakv,128,16,32401,0.0
Z,0,metakv,256,4,32586,0.0
Z,0,metakv,256,8,31822,0.0
Z,0,metakv,256,16,31220,0.0
Z,0,twemcache,32,4,20372,0.0
Z,0,twemcache,32,8,13956,0.0
Z,0,twemcache,32,16,9186,0.0
Z,0,twemcache,64,4,15145,0.0
Z,0,twemcache,64,8,9094,0.0
Z,0,twemcache,64,16,5016,0.0
Z,0,twemcache,128,4,11479,0.0
Z,0,twemcache,128,8,6385,0.0
Z,0,twemcache,128,16,3174,0.0
Z,0,twemcache,256,4,9588,0.0
Z,0,twemcache,256,8,5090,0.0
Z,0,twemcache,256,16,2415,0.0
Z,0,wiki2018,32,4,49968,0.0
Z,0,wiki2018,32,8,49968,0.0
Z,0,wiki2018,32,16,49968,0.0
Z,0,wiki2018,64,4,49936,0.0
Z,0,wiki2018,64,8,49936,0.0
Z,0,wiki2018,64,16,49936,0.0
Z,0,wiki2018,128,4,49872,0.0
Z,0,wiki2018,128,8,49872,0.0
Z,0,wiki2018,128,16,49872,0.0
Z,0,wiki2018,256,4,49744,0.0
Z,0,wiki2018,256,8,49744,0.0
Z,0,wiki2018,256,16,49744,0.0
Q1,1,cloudphysics,32,4,615,0.03125
Q1,1,cloudphysics,32,8,1051,0.03125
Q1,1,cloudphysics,32,16,1606,0.03125
Q1,1,cloudphysics,64,4,1089,0.015625
Q1,1,cloudphysics,64,8,1838,0.015625
Q1,1,cloudphysics,64,16,2832,0.015625
Q1,1,cloudphysics,128,4,1579,0.0078125
Q1,1,cloudphysics,128,8,2634,0.0078125
Q1,1,cloudphysics,128,16,4027,0.0078125
Q1,1,cloudphysics,256,4,2003,0.00390625
Q1,1,cloudphysics,256,8,3296,0.00390625
Q1,1,cloudphysics,256,16,5019,0.00390625
Q1,1,metacdn,32,4,5634,0.03125
Q1,1,metacdn,32,8,6793,0.03125
Q1,1,metacdn,32,16,7248,0.03125
Q1,1,metacdn,64,4,5629,0.015625
Q1,1,metacdn,64,8,6684,0.015625
Q1,1,metacdn,64,16,7065,0.015625
Q1,1,metacdn,128,4,5588,0.0078125
Q1,1,metacdn,128,8,6543,0.0078125
Q1,1,metacdn,128,16,6862,0.0078125
Q1,1,metacdn,256,4,5524,0.00390625
Q1,1,metacdn,256,8,6378,0.00390625
Q1,1,metacdn,256,16,6640,0.0048951666039156625
Q1,1,metakv,32,4,1113,0.03125
Q1,1,metakv,32,8,1222,0.03125
Q1,1,metakv,32,16,1266,0.03125
Q1,1,metakv,64,4,1122,0.015625
Q1,1,metakv,64,8,1243,0.015625
Q1,1,metakv,64,16,1307,0.015625
Q1,1,metakv,128,4,1137,0.0078125
Q1,1,metakv,128,8,1274,0.0078125
Q1,1,metakv,128,16,1364,0.0078125
Q1,1,metakv,256,4,1225,0.00390625
Q1,1,metakv,256,8,1416,0.00390625
Q1,1,metakv,256,16,1567,0.00390625
Q1,1,twemcache,32,4,4370,0.03125
Q1,1,twemcache,32,8,5974,0.03125
Q1,1,twemcache,32,16,7166,0.03125
Q1,1,twemcache,64,4,4901,0.015625
Q1,1,twemcache,64,8,6414,0.015625
Q1,1,twemcache,64,16,7433,0.017344527781514865
Q1,1,twemcache,128,4,4929,0.0078125
Q1,1,twemcache,128,8,6203,0.0078125
Q1,1,twemcache,128,16,7006,0.010482086782757636
Q1,1,twemcache,256,4,4780,0.00390625
Q1,1,twemcache,256,8,5904,0.00390625
Q1,1,twemcache,256,16,6573,0.005700403164460672
Q2,2,cloudphysics,32,4,615,0.03125
Q2,2,cloudphysics,32,8,1051,0.03125
Q2,2,cloudphysics,32,16,1606,0.03125
Q2,2,cloudphysics,64,4,1089,0.015625
Q2,2,cloudphysics,64,8,1838,0.015625
Q2,2,cloudphysics,64,16,2831,0.015625
Q2,2,cloudphysics,128,4,1578,0.0078125
Q2,2,cloudphysics,128,8,2634,0.0078125
Q2,2,cloudphysics,128,16,4027,0.0078125
Q2,2,cloudphysics,256,4,2003,0.00390625
Q2,2,cloudphysics,256,8,3296,0.00390625
Q2,2,cloudphysics,256,16,5018,0.00390625
Q2,2,metacdn,32,4,5634,0.03125
Q2,2,metacdn,32,8,6792,0.03125
Q2,2,metacdn,32,16,7248,0.041032871136865344
Q2,2,metacdn,64,4,5629,0.015625
Q2,2,metacdn,64,8,6684,0.015884481597845602
Q2,2,metacdn,64,16,7065,0.026556970983722575
Q2,2,metacdn,128,4,5588,0.0078125
Q2,2,metacdn,128,8,6543,0.009848311172245147
Q2,2,metacdn,128,16,6862,0.015606783736519966
Q2,2,metacdn,256,4,5524,0.00390625
Q2,2,metacdn,256,8,6378,0.005850188146754469
Q2,2,metacdn,256,16,6640,0.0078125
Q2,2,metakv,32,4,1113,0.03125
Q2,2,metakv,32,8,1222,0.03125
Q2,2,metakv,32,16,1266,0.03125
Q2,2,metakv,64,4,1122,0.015625
Q2,2,metakv,64,8,1242,0.015625
Q2,2,metakv,64,16,1307,0.015625
Q2,2,metakv,128,4,1137,0.0078125
Q2,2,metakv,128,8,1274,0.0078125
Q2,2,metakv,128,16,1364,0.0078125
Q2,2,metakv,256,4,1225,0.00390625
Q2,2,metakv,256,8,1416,0.00390625
Q2,2,metakv,256,16,1567,0.00390625
Q2,2,twemcache,32,4,4369,0.03125
Q2,2,twemcache,32,8,5973,0.03211849154528713
Q2,2,twemcache,32,16,7166,0.0521472927714206
Q2,2,twemcache,64,4,4901,0.015625
Q2,2,twemcache,64,8,6414,0.022494738072965387
Q2,2,twemcache,64,16,7433,0.03532389344813669
Q2,2,twemcache,128,4,4929,0.0078125
Q2,2,twemcache,128,8,6203,0.013611105513461228
Q2,2,twemcache,128,16,7005,0.020806566738044253
Q2,2,twemcache,256,4,4780,0.004003497646443515
Q2,2,twemcache,256,8,5904,0.00739038152100271
Q2,2,twemcache,256,16,6573,0.011955870607028754
Q3,3,cloudphysics,32,4,614,0.03125
Q3,3,cloudphysics,32,8,1050,0.03125
Q3,3,cloudphysics,32,16,1606,0.04446217310087173
Q3,3,cloudphysics,64,4,1089,0.015625
Q3,3,cloudphysics,64,8,1838,0.01571001088139282
Q3,3,cloudphysics,64,16,2831,0.02399770399152243
Q3,3,cloudphysics,128,4,1578,0.0078125
Q3,3,cloudphysics,128,8,2634,0.008512481017463934
Q3,3,cloudphysics,128,16,4027,0.01309908120188726
Q3,3,cloudphysics,256,4,2003,0.00390625
Q3,3,cloudphysics,256,8,3296,0.004624450091019417
Q3,3,cloudphysics,256,16,5018,0.006832434485850937
Q3,3,metacdn,32,4,5634,0.033252351792687256
Q3,3,metacdn,32,8,6792,0.054669095995288575
Q3,3,metacdn,32,16,7248,0.0625
Q3,3,metacdn,64,4,5628,0.018837175728500355
Q3,3,metacdn,64,8,6684,0.03125
Q3,3,metacdn,64,16,7065,0.034810686482661
Q3,3,metacdn,128,4,5588,0.010579310576234789
Q3,3,metacdn,128,8,6542,0.015625
Q3,3,metacdn,128,16,6862,0.02042156987758671
Q3,3,metacdn,256,4,5524,0.005870689265025344
Q3,3,metacdn,256,8,6377,0.0078125
Q3,3,metacdn,256,16,6640,0.011606386483433736
Q3,3,metakv,32,4,1113,0.03125
Q3,3,metakv,32,8,1221,0.03125
Q3,3,metakv,32,16,1266,0.03125
Q3,3,metakv,64,4,1122,0.015625
Q3,3,metakv,64,8,1242,0.015625
Q3,3,metakv,64,16,1306,0.015625
Q3,3,metakv,128,4,1137,0.0078125
Q3,3,metakv,128,8,1273,0.0078125
Q3,3,metakv,128,16,1364,0.0078125
Q3,3,metakv,256,4,1225,0.00390625
Q3,3,metakv,256,8,1416,0.00390625
Q3,3,metakv,256,16,1566,0.00390625
Q3,3,twemcache,32,4,4369,0.04041256580453193
Q3,3,twemcache,32,8,5973,0.0625
Q3,3,twemcache,32,16,7166,0.08238557075076751
Q3,3,twemcache,64,4,4901,0.024551749642930016
Q3,3,twemcache,64,8,6413,0.03568678855449867
Q3,3,twemcache,64,16,7433,0.055205670657877036
Q3,3,twemcache,128,4,4929,0.014631200547778453
Q3,3,twemcache,128,8,6202,0.020938306191551112
Q3,3,twemcache,128,16,7005,0.03523487687366167
Q3,3,twemcache,256,4,4779,0.0078125
Q3,3,twemcache,256,8,5904,0.01155929772188347
Q3,3,twemcache,256,16,6573,0.019507478510573557
Q4,4,cloudphysics,32,4,614,0.052778908794788276
Q4,4,cloudphysics,32,8,1050,0.08473214285714285
Q4,4,cloudphysics,32,16,1605,0.13753894080996884
Q4,4,cloudphysics,64,4,1088,0.02692727481617647
Q4,4,cloudphysics,64,8,1838,0.04176584602829162
Q4,4,cloudphysics,64,16,2831,0.06199222889438361
Q4,4,cloudphysics,128,4,1578,0.013555529150823828
Q4,4,cloudphysics,128,8,2634,0.020026575550493544
Q4,4,cloudphysics,128,16,4027,0.028475757387633475
Q4,4,cloudphysics,256,4,2002,0.007240806068931069
Q4,4,cloudphysics,256,8,3295,0.010607928679817906
Q4,4,cloudphysics,256,16,5018,0.01572697663411718
Q4,4,metacdn,32,4,5634,0.0669650780972666
Q4,4,metacdn,32,8,6792,0.08095001472320378
Q4,4,metacdn,32,16,7247,0.10846298468331723
Q4,4,metacdn,64,4,5628,0.033854166666666664
Q4,4,metacdn,64,8,6683,0.042652532545264105
Q4,4,metacdn,64,16,7065,0.05663260792639774
Q4,4,metacdn,128,4,5587,0.01729181582244496
Q4,4,metacdn,128,8,6542,0.023045800214001835
Q4,4,metacdn,128,16,6862,0.03019231820169047
Q4,4,metacdn,256,4,5523,0.008854308120586638
Q4,4,metacdn,256,8,6377,0.01258183707072291
Q4,4,metacdn,256,16,6639,0.01684000320078325
Q4,4,metakv,32,4,1113,0.04015049415992812
Q4,4,metakv,32,8,1221,0.043637387387387386
Q4,4,metakv,32,16,1266,0.04625789889415482
Q4,4,metakv,64,4,1122,0.02012310606060606
Q4,4,metakv,64,8,1242,0.02150010064412238
Q4,4,metakv,64,16,1306,0.022229134762633995
Q4,4,metakv,128,4,1136,0.010281415052816902
Q4,4,metakv,128,8,1273,0.011316771406127258
Q4,4,metakv,128,16,1363,0.01233492296404989
Q4,4,metakv,256,4,1225,0.005510204081632653
Q4,4,metakv,256,8,1416,0.006797316384180791
Q4,4,metakv,256,16,1566,0.009393957535121329
Q4,4,twemcache,32,4,4369,0.07482404440375372
Q4,4,twemcache,32,8,5973,0.11339046542775824
Q4,4,twemcache,32,16,7165,0.1879317864619679
Q4,4,twemcache,64,4,4900,0.03926339285714286
Q4,4,twemcache,64,8,6413,0.06170815141119601
Q4,4,twemcache,64,16,7433,0.10249688887394054
Q4,4,twemcache,128,4,4929,0.021727277338202476
Q4,4,twemcache,128,8,6202,0.03622193445662689
Q4,4,twemcache,128,16,7005,0.0622412562455389
Q4,4,twemcache,256,4,4779,0.011506231690730279
Q4,4,twemcache,256,8,5904,0.019413480267615177
Q4,4,twemcache,256,16,6572,0.03368219339622641
