paragraph_id,section,source_file,approx_words,role,disposition,reason,information_loss_risk,estimated_words_saved,dependency_or_cross_reference
P-ABS-1,Abstract,main.tex,230,CORE_ARGUMENT,KEEP,"Already tight, one sentence per claim",none,0,none
P-INT-1,Introduction,01_introduction.tex,105,CORE_ARGUMENT,KEEP,"Problem statement paragraph, load-bearing",none,0,none
P-INT-2,Introduction,01_introduction.tex,150,DEFINITION,KEEP,"Defines y_loss/y_value once, needed before Sec.2",none,0,none
P-INT-3,Introduction,01_introduction.tex,280,RESULT_PRIMARY,KEEP,"RQ1-RQ5 summary; this is the paper's own index of findings, not yet stated elsewhere",none,0,none
P-INT-4,Introduction,01_introduction.tex,45,REPRODUCIBILITY_REQUIRED,SHORTEN,"'Every quantitative claim traces to...' slightly wordy lead-in",low,10,Sec 6 (release validation) is PRIMARY
P-INT-5,Introduction,01_introduction.tex,35,RELATED_WORK_POSITIONING,KEEP,"Novelty-scope sentence, single occurrence here in this form",none,0,Sec 10 Positioning
P-INT-6,Introduction,01_introduction.tex,90,TRANSITION,SHORTEN,"Roadmap paragraph could compress by naming section ranges only, not restating what each does",low,20,none
P-BKG-1,Background,02_background.tex,180,RELATED_WORK_POSITIONING,KEEP,"Sets up cross-paper comparability problem; distinct from Sec 10's positioning (this motivates, Sec 10 positions against literature)",none,0,Sec 10
P-BKG-2,Background,02_background.tex,70,CORE_ARGUMENT,KEEP,"States LAFC-Evict's core move in one paragraph",none,0,none
P-BKG-3,Background,02_background.tex,120,DEFINITION,KEEP,"Worked example setup (cache state, miss, candidates) -- required, precedes formalism",none,0,none
P-BKG-4,Background,02_background.tex,140,DEFINITION,KEEP,"Worked example scoring (y_loss derivation, tie) -- required, this IS the worked example",none,0,none
P-BKG-5,Background,02_background.tex,185,DEFINITION,KEEP,"Decision view / pairwise view definitions, needed before Sec 4/5/7",none,0,none
P-BD-1,BenchmarkDesign,03_benchmark_design.tex,130,DEFINITION,KEEP,"Trace/cache-state/eviction-decision definitions",none,0,none
P-BD-2,BenchmarkDesign,03_benchmark_design.tex,75,LIMITATION,KEEP,"Unit-object abstraction scope statement, PRIMARY location per REPETITION_AUDIT.md item 9",none,0,09_limitations item 5 (SECONDARY there)
P-BD-3,BenchmarkDesign,03_benchmark_design.tex,180,METHOD_REQUIRED,KEEP,"Five-family definition incl. cloudphysics/alibaba-block footnote -- naming provenance is reviewer-sensitive, keep",none,0,none
P-BD-4,BenchmarkDesign,03_benchmark_design.tex,90,METHOD_REQUIRED,SHORTEN,"Four-requirement enumerate list slightly verbose (each item could drop its parenthetical section pointer down to one shared pointer)",low,15,none
P-EXM-1,ExpMethodology,03b_experimental_methodology.tex,25,META_COMMENTARY,SHORTEN,"'This section consolidates...stated once rather than scattered' is meta-commentary about the manuscript itself",low,12,none
P-EXM-2,ExpMethodology,03b_experimental_methodology.tex,90,METHOD_REQUIRED,KEEP,"Workload/capacity/horizon scope per section -- load-bearing, prevents scope confusion flagged by SIGMOD reviewers",none,0,none
P-EXM-3,ExpMethodology,03b_experimental_methodology.tex,110,METHOD_REQUIRED,KEEP,"Split terminology + MetaCDN/MetaKV caveats -- PRIMARY location, referenced 4+ times elsewhere",none,0,08b/08d/09/08f (SECONDARY)
P-EXM-4,ExpMethodology,03b_experimental_methodology.tex,55,METHOD_REQUIRED,KEEP,"Policies/seeds protocol",none,0,none
P-EXM-5,ExpMethodology,03b_experimental_methodology.tex,45,METHOD_REQUIRED,KEEP,"Offline metrics definitions",none,0,none
P-EXM-6,ExpMethodology,03b_experimental_methodology.tex,35,METHOD_REQUIRED,KEEP,"Closed-loop metrics definitions",none,0,none
P-EXM-7,ExpMethodology,03b_experimental_methodology.tex,60,METHOD_REQUIRED,KEEP,"Linkage metrics + explicit n=10 caveat",none,0,none
P-EXM-8,ExpMethodology,03b_experimental_methodology.tex,90,METHOD_REQUIRED,KEEP,"Continuation-sensitivity metrics + sample sizes -- needed to interpret Sec 08e",none,0,none
P-EXM-9,ExpMethodology,03b_experimental_methodology.tex,35,METHOD_REQUIRED,KEEP,"Tie-aware analysis statement",none,0,none
P-EXM-10,ExpMethodology,03b_experimental_methodology.tex,95,REPRODUCIBILITY_REQUIRED,SHORTEN,"Repeats exact MRU-census gate stats (60/60 chunks; 2363286 records; 30/30 gates) that are given in full again in Sec 6 and Sec 08e -- 3rd near-identical restatement across the paper",low,35,"Sec 6 (PRIMARY); Sec 08e (also restates, see P-CONT-2)"
P-LBL-1,LabelGeneration,04_label_generation.tex,120,DEFINITION,KEEP,"Formal y_loss definition, load-bearing equation",none,0,none
P-LBL-2,LabelGeneration,04_label_generation.tex,90,DEFINITION,KEEP,"y_value duality explanation",none,0,none
P-LBL-3,LabelGeneration,04_label_generation.tex,60,DEFINITION,KEEP,"Optimal set / regret formal definitions -- these ARE the equations Problem 7 audits",none,0,none
