feature,distinct_values,null_count,min,max,constant_globally,duplicate_of,deterministic_transform_of,leakage_check,category,repair_decision,reason
request_bucket,1,0,0.0,0.0,True,,,NONE_FOUND,ACCIDENTAL_PLACEHOLDER,DEPRECATE_FROM_MODEL_FEATURES,"Globally constant across the entire release (COUNT(DISTINCT)=1). Traced to a missing metadata-annotation call in the upstream generator (Augmented-caching src/lafc/evict_value_wulver_v1.py / evict_value_dataset_v1.py): bucket_by_page/confidence_by_page are only ever populated from req.metadata['bucket']/['confidence'], which no code path in this generator ever sets, so every .get(..., default) falls back to its default (0 or 0.5) for every row."
request_confidence,1,0,0.5,0.5,True,,,NONE_FOUND,ACCIDENTAL_PLACEHOLDER,DEPRECATE_FROM_MODEL_FEATURES,"Globally constant across the entire release (COUNT(DISTINCT)=1). Traced to a missing metadata-annotation call in the upstream generator (Augmented-caching src/lafc/evict_value_wulver_v1.py / evict_value_dataset_v1.py): bucket_by_page/confidence_by_page are only ever populated from req.metadata['bucket']/['confidence'], which no code path in this generator ever sets, so every .get(..., default) falls back to its default (0 or 0.5) for every row."
candidate_bucket,1,0,0.0,0.0,True,,,NONE_FOUND,ACCIDENTAL_PLACEHOLDER,DEPRECATE_FROM_MODEL_FEATURES,"Globally constant across the entire release (COUNT(DISTINCT)=1). Traced to a missing metadata-annotation call in the upstream generator (Augmented-caching src/lafc/evict_value_wulver_v1.py / evict_value_dataset_v1.py): bucket_by_page/confidence_by_page are only ever populated from req.metadata['bucket']/['confidence'], which no code path in this generator ever sets, so every .get(..., default) falls back to its default (0 or 0.5) for every row."
candidate_confidence,1,0,0.5,0.5,True,,,NONE_FOUND,ACCIDENTAL_PLACEHOLDER,DEPRECATE_FROM_MODEL_FEATURES,"Globally constant across the entire release (COUNT(DISTINCT)=1). Traced to a missing metadata-annotation call in the upstream generator (Augmented-caching src/lafc/evict_value_wulver_v1.py / evict_value_dataset_v1.py): bucket_by_page/confidence_by_page are only ever populated from req.metadata['bucket']/['confidence'], which no code path in this generator ever sets, so every .get(..., default) falls back to its default (0 or 0.5) for every row."
candidate_recency_rank,256,0,0.0,255.0,False,,,NONE_FOUND,VALID_MODEL_FEATURE,KEEP,"Non-constant, independently computed from recency order or request/hit-rate history; not derived from the defective bucket/confidence inputs."
candidate_age_norm,472,0,0.0,1.0,False,,,NONE_FOUND,VALID_MODEL_FEATURE,KEEP,"Non-constant, independently computed from recency order or request/hit-rate history; not derived from the defective bucket/confidence inputs."
candidate_predictor_score,1,0,0.5,0.5,True,,,NONE_FOUND,ACCIDENTAL_PLACEHOLDER,DEPRECATE_FROM_MODEL_FEATURES,"Globally constant across the entire release (COUNT(DISTINCT)=1). Traced to a missing metadata-annotation call in the upstream generator (Augmented-caching src/lafc/evict_value_wulver_v1.py / evict_value_dataset_v1.py): bucket_by_page/confidence_by_page are only ever populated from req.metadata['bucket']/['confidence'], which no code path in this generator ever sets, so every .get(..., default) falls back to its default (0 or 0.5) for every row."
candidate_lru_score,472,0,0.0,1.0,False,,,NONE_FOUND,VALID_MODEL_FEATURE,KEEP,"Non-constant, independently computed from recency order or request/hit-rate history; not derived from the defective bucket/confidence inputs."
candidate_is_predictor_victim,2,0,0.0,1.0,False,candidate_is_lru_victim,,NONE_FOUND,REDUNDANT_ALIAS,DEPRECATE_FROM_MODEL_FEATURES,"Bit-identical to candidate_is_lru_victim across all 277,995,072 rows (0 mismatches, independently verified)."
candidate_is_lru_victim,2,0,0.0,1.0,False,,,NONE_FOUND,VALID_MODEL_FEATURE,KEEP,"Non-constant, independently computed from recency order or request/hit-rate history; not derived from the defective bucket/confidence inputs."
score_gap_to_predictor_best,1,0,0.0,0.0,True,,,NONE_FOUND,ACCIDENTAL_PLACEHOLDER,DEPRECATE_FROM_MODEL_FEATURES,"Globally constant across the entire release (COUNT(DISTINCT)=1). Traced to a missing metadata-annotation call in the upstream generator (Augmented-caching src/lafc/evict_value_wulver_v1.py / evict_value_dataset_v1.py): bucket_by_page/confidence_by_page are only ever populated from req.metadata['bucket']/['confidence'], which no code path in this generator ever sets, so every .get(..., default) falls back to its default (0 or 0.5) for every row."
